CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	ZERO	ONE	TWO	THREE	FOUR	FIVE	FZ	FACE
1.83E-01	6.21E-03	4.92E-04	4.11E-05	1.16E-08	3.24E-06	-1.11E-06	30.16510035	1	0	0	0	0	0	0	0
1.84E-01	5.93E-03	5.43E-04	4.62E-05	-1.08E-07	3.53E-06	-1.32E-06	29.66818503	1	0	0	0	0	0	0	0
1.84E-01	6.12E-03	5.00E-04	4.80E-05	-1.12E-07	3.76E-06	-1.02E-06	29.87976689	1	0	0	0	0	0	0	0
1.85E-01	6.86E-03	5.40E-04	5.64E-05	1.58E-08	4.59E-06	-1.13E-06	30.81994478	1	0	0	0	0	0	0	0
1.90E-01	8.98E-03	4.83E-04	5.82E-05	2.79E-07	4.97E-06	-9.06E-07	30.51816159	1	0	0	0	0	0	0	0
1.90E-01	8.80E-03	5.09E-04	5.91E-05	3.87E-07	4.82E-06	-8.91E-07	30.51156215	1	0	0	0	0	0	0	0
1.90E-01	8.31E-03	5.44E-04	5.91E-05	5.88E-07	4.74E-06	-8.91E-07	30.53554451	1	0	0	0	0	0	0	0
1.87E-01	7.68E-03	4.93E-04	5.05E-05	5.99E-07	4.11E-06	-7.36E-07	30.78798676	1	0	0	0	0	0	0	0
1.84E-01	6.31E-03	5.07E-04	4.77E-05	6.03E-07	3.56E-06	-8.29E-07	30.80115073	1	0	0	0	0	0	0	0
1.86E-01	6.72E-03	7.46E-04	7.77E-05	9.18E-07	6.01E-06	-1.73E-06	27.86906452	1	0	0	0	0	0	0	0
1.83E-01	5.16E-03	7.92E-04	5.98E-05	3.26E-07	4.13E-06	-2.52E-06	28.52582707	1	0	0	0	0	0	0	0
1.80E-01	4.31E-03	8.37E-04	6.07E-05	-6.39E-08	3.72E-06	-2.75E-06	28.47712177	1	0	0	0	0	0	0	0
1.85E-01	6.34E-03	8.50E-04	8.46E-05	4.56E-07	6.73E-06	-2.81E-06	27.15327436	1	0	0	0	0	0	0	0
1.83E-01	5.25E-03	7.57E-04	5.31E-05	1.04E-06	3.39E-06	-8.44E-07	26.6401119	1	0	0	0	0	0	0	0
1.80E-01	3.90E-03	6.67E-04	3.34E-05	4.00E-07	1.48E-06	-1.99E-07	24.81907384	1	0	0	0	0	0	0	0
1.78E-01	3.26E-03	6.07E-04	2.76E-05	4.27E-07	1.06E-06	-2.91E-07	24.94065768	1	0	0	0	0	0	0	0
1.77E-01	2.74E-03	7.22E-04	2.80E-05	6.55E-07	1.41E-06	-1.52E-06	26.36813988	1	0	0	0	0	0	0	0
1.81E-01	3.94E-03	8.43E-04	3.94E-05	2.43E-07	1.73E-06	-2.71E-06	26.90749629	1	0	0	0	0	0	0	0
1.85E-01	5.35E-03	9.83E-04	4.70E-05	-1.06E-06	1.64E-06	-2.90E-06	27.00633254	1	0	0	0	0	0	0	0
1.87E-01	5.94E-03	1.09E-03	7.25E-05	-1.31E-06	3.94E-06	-2.70E-06	27.85342268	1	0	0	0	0	0	0	0
1.86E-01	6.02E-03	9.94E-04	8.02E-05	-1.01E-06	5.45E-06	-2.05E-06	28.59626266	1	0	0	0	0	0	0	0
